Name,t,p,epsilon_e,epsilon_B,nu_a,nu_a_error,nu_m,nu_m_error,Fp_mJy,Fp_mJy_error,dist_Mpc,z
CNSSJ0019+00,573,3.3,0.1,0.1,4.26,0.04,-99.99,-99.99,8.27,0.03,77.1,0.018
CNSSJ0019+00,606,3.3,0.1,0.1,3.87,0.03,-99.99,-99.99,8.08,0.04,77.1,0.018
CNSSJ0019+00,731,3.3,0.1,0.1,3.12,0.04,-99.99,-99.99,7.41,0.06,77.1,0.018
CNSSJ0019+00,998,3.3,0.1,0.1,1.92,0.06,-99.99,-99.99,4.95,0.09,77.1,0.018
ASASSN-14li,128,3.0,0.1,0.1,16.8,0.0,-99.99,-99.99,1.91,0.0,90.0,0.0206
ASASSN-14li,143,3.0,0.1,0.1,8.2,0.1,-99.99,-99.99,1.76,0.01,90.0,0.0206
ASASSN-14li,207,3.0,0.1,0.1,4.37,0.2,-99.99,-99.99,1.23,0.03,90.0,0.0206
ASASSN-14li,246,3.0,0.1,0.1,4.0,0.06,-99.99,-99.99,1.14,0.01,90.0,0.0206
ASASSN-14li,304,3.0,0.1,0.1,2.55,0.06,-99.99,-99.99,0.94,0.02,90.0,0.0206
ASASSN-14li,381,3.0,0.1,0.1,1.91,0.07,-99.99,-99.99,0.62,0.02,90.0,0.0206
AT2020vwl,142,3.0,0.1,0.1,8.04,0.81,3.69,1.0,0.59,0.03,147.0,0.035
AT2020vwl,211,3.0,0.1,0.1,5.79,0.68,2.56,0.81,0.54,0.05,147.0,0.035
AT2020vwl,307,3.0,0.1,0.1,3.05,0.53,1.5,0.56,0.35,0.06,147.0,0.035
AT2020vwl,375,3.0,0.1,0.1,2.35,0.54,1.25,0.51,0.21,0.06,147.0,0.035
AT2020vwl,423,3.0,0.1,0.1,2.9,0.81,1.48,0.73,0.13,0.03,147.0,0.035
AT2020vwl,577,3.0,0.1,0.1,1.55,0.36,0.87,0.31,0.26,0.07,147.0,0.035
AT2020opy,50,2.7,0.1,0.1,9.6,1.2,-99.99,-99.99,0.07,0.007,765.8,0.159
AT2020opy,116,2.7,0.1,0.1,9.4,0.5,-99.99,-99.99,0.141,0.006,765.8,0.159
AT2020opy,281,2.7,0.1,0.1,4.2,0.4,-99.99,-99.99,0.28,0.02,765.8,0.159
AT2019dsg,52,2.7,0.1,0.02,15.848931924611108,3.6493514389486976,-99.99,-99.99,0.47,0.09,230.0,0.051
AT2019dsg,55,2.7,0.1,0.02,20.89296130854041,6.254016763481047,-99.99,-99.99,0.6,0.04,230.0,0.051
AT2019dsg,60,2.7,0.1,0.02,18.197008586099827,1.2570048212231435,-99.99,-99.99,0.67,0.01,230.0,0.051
AT2019dsg,80,2.7,0.1,0.02,13.803842646028865,1.9070713381668931,-99.99,-99.99,0.8,0.06,230.0,0.051
AT2019dsg,82,2.7,0.1,0.02,10.71519305237605,0.7401793137286338,-99.99,-99.99,0.65,0.03,230.0,0.051
AT2019dsg,130,2.7,0.1,0.02,10.232929922807537,0.9424876759163738,-99.99,-99.99,1.24,0.05,230.0,0.051
AT2019dsg,161,2.7,0.1,0.02,9.549925860214369,0.8795806769971178,-99.99,-99.99,0.98,0.04,230.0,0.051
AT2019dsg,188,2.7,0.1,0.02,5.128613839913659,0.47236279102032575,-99.99,-99.99,1.22,0.04,230.0,0.051
AT2019dsg,300,2.7,0.1,0.02,3.5481338923357604,0.4084940104219632,-99.99,-99.99,0.79,0.04,230.0,0.051
AT2019dsg,561,2.7,0.1,0.02,1.698243652461746,0.4301385570273195,-99.99,-99.99,0.34,0.04,230.0,0.051
AT2018hyz,972,2.3,0.1,0.1,1.6218100973589331,0.1867177876922951,-99.99,-99.99,2.38,0.35,204.0,0.0457
AT2018hyz,1126,2.3,0.1,0.1,1.513561248436207,0.03485103567982668,-99.99,-99.99,4.98,0.05,204.0,0.0457
AT2018hyz,1199,2.3,0.1,0.1,1.3182567385564048,0.09106194944816781,-99.99,-99.99,8.22,0.16,204.0,0.0457
AT2018hyz,1251,2.3,0.1,0.1,1.4791083881682072,0.0681154585103713,-99.99,-99.99,8.82,0.1,204.0,0.0457
#AT2018hyz,1282,2.3,0.1,0.1,2.95120922666639,0.27181641486514063,-99.99,-99.99,8.83,0.68,204.0,0.0457
SwJ1644+57,5,2.5,0.1,0.001,51.28613839913659,20.665872107139247,398.1071705534969,0.0,19.751995241310116,21.215,1900.0,0.354
SwJ1644+57,10,2.5,0.1,0.001,12.882495516931321,2.373043371027895,213.79620895022325,123.07099091685606,11.106425482604413,3.09,1900.0,0.354
SwJ1644+57,15,2.5,0.1,0.001,9.549925860214369,1.8691089386188753,141.25375446227554,60.17102603054121,9.979704800323757,2.375,1900.0,0.354
SwJ1644+57,22,2.5,0.1,0.001,11.220184543019654,0.38753144504098896,57.543993733715666,11.2624950838207,8.51985121527289,0.675,1900.0,0.354
SwJ1644+57,36,2.5,0.1,0.001,6.760829753919819,0.5448585032676233,70.79457843841372,0.0,10.448712547211702,1.03,1900.0,0.354
SwJ1644+57,51,2.5,0.1,0.001,8.128305161640995,1.0293862863075611,69.18309709189363,0.0,12.329237237180024,2.0949999999999998,1900.0,0.354
SwJ1644+57,68,2.5,0.1,0.001,8.91250938133744,0.30782716863955767,51.28613839913659,0.0,15.229410461010392,1.21,1900.0,0.354
SwJ1644+57,97,2.5,0.1,0.001,7.943282347242822,0.5487025056661223,30.902954325135923,3.913617507719361,17.491479278894694,2.755,1900.0,0.354
SwJ1644+57,126,2.5,0.1,0.001,8.128305161640995,0.4679028574125279,21.379620895022324,1.4768518910022725,16.14339442589113,2.41,1900.0,0.354
SwJ1644+57,161,2.5,0.1,0.001,7.244359600749891,0.6672301769989998,12.882495516931321,1.7797825282709212,15.582227239655406,7.99,1900.0,0.354
SwJ1644+57,197,2.5,0.1,0.001,6.025595860743568,0.5549778882141907,11.481536214968841,1.3218607066629269,14.003842651278585,5.515000000000001,1900.0,0.354
SwJ1644+57,216,2.5,0.1,0.001,7.244359600749891,0.3336150884994999,11.748975549395304,0.8115904787396747,15.284176090158844,4.885,1900.0,0.354
SwJ1644+57,244,2.5,0.1,0.001,6.918309709189362,0.31859993610190795,11.748975549395304,0.8115904787396747,13.983925417121725,3.855,1900.0,0.354
SwJ1644+57,301,2.5,0.1,0.001,6.456542290346563,0.3716684507509408,6.456542290346563,1.5610074931539513,17.668617421789268,9.195,1900.0,0.354
SwJ1644+57,390,2.5,0.1,0.001,3.801893963205613,0.13131276547231946,3.5481338923357604,0.5310422135485522,15.590064878792521,5.26,1900.0,0.354
SwJ1644+57,457,2.5,0.1,0.001,3.4673685045253095,0.1596782206087407,2.95120922666639,0.815449244595422,13.08478109366268,7.32,1900.0,0.354
SwJ1644+57,582,2.5,0.1,0.001,3.1622776601683795,0.145628268004236,1.9498445997580414,0.5163135575416479,9.258327736026114,3.16,1900.0,0.354
SwJ1644+57,645,2.5,0.1,0.001,2.0417379446695314,0.21155739098383644,1.230268770812381,0.3399358238458436,10.708622578673703,3.0949999999999998,1900.0,0.354
SwJ1644+57,791,2.5,0.1,0.001,2.691534803926914,0.3098743958398382,1.230268770812381,0.3257718311856001,6.234145140863103,1.1600000000000001,1900.0,0.354
SwJ1644+57,1030,2.5,0.1,0.001,1.8620871366628657,0.12862842248207643,0.8317637711026709,0.20109672032451978,5.037931772863658,0.76,1900.0,0.354
SwJ1644+57,1100,2.5,0.1,0.001,1.8197008586099825,0.08380032141487624,0.8317637711026709,0.17236861742101695,4.288293466753189,0.54,1900.0,0.354
SwJ1644+57,1362,2.5,0.1,0.001,1.7378008287493762,0.08002868565742025,0.6456542290346563,0.17096748734543274,2.782501573234288,0.255,1900.0,0.354
SwJ1644+57,1894,2.5,0.1,0.001,1.1748975549395304,0.05410603191597831,0.38904514499428045,0.071664764109243,2.2583866346904142,0.12,1900.0,0.354
